Price,District,City,Town,EnergyCertificate,Floor,Parking,HasParking,ConstructionYear,TotalArea,Garage,ElectricCarsCharging,TotalRooms,NumberOfBedrooms,LivingArea,NumberOfBathrooms,Lift or Elevator
215000.0,0,1,1,6,0.0,0.0,False,1999.0,1486.0,,False,1.0,,65.0,1.0,False
269000.0,0,6,8,2,7.0,0.0,False,1988.0,65.0,,False,1.0,,65.0,1.0,True
375000.0,0,3,3,4,4.0,2.0,True,2023.0,700.0,,False,3.0,,114.0,2.0,True
360000.0,0,3,3,4,7.0,2.0,True,2023.0,700.0,,False,3.0,,114.0,2.0,True
154500.0,0,3,3,2,4.0,0.0,False,1993.0,48.0,,False,1.0,,42.0,1.0,True
160000.0,0,1,1,3,11.0,0.0,False,1978.0,48750000.0,,False,,,34.0,1.0,False
365000.0,0,3,14,3,1.0,2.0,True,2006.0,158.0,,False,3.0,,158.0,2.0,True
122500.0,0,8,10,3,2.0,0.0,False,1979.0,62.0,,False,1.0,,62.0,1.0,True
237500.0,0,3,3,2,2.0,0.0,False,1991.0,400.0,,False,3.0,,101.0,2.0,True
380000.0,0,4,4,4,1.0,1.0,True,2021.0,85.0,,False,2.0,,85.0,,False
635000.0,0,5,5,4,0.0,1.0,True,2022.0,93.0,,False,2.0,,74.0,2.0,True
255000.0,0,4,4,4,1.0,1.0,True,,63.0,,False,1.0,,63.0,1.0,True
258000.0,0,4,4,4,1.0,1.0,True,,62.0,,False,1.0,,62.0,1.0,True
252000.0,0,4,4,4,1.0,1.0,True,,61.0,,False,1.0,,61.0,1.0,True
265000.0,0,4,4,4,0.0,1.0,True,,63.0,,False,1.0,,63.0,1.0,True
276000.0,0,4,4,4,2.0,1.0,True,,63.0,,False,1.0,,63.0,1.0,True
272000.0,0,4,4,4,2.0,1.0,True,,61.0,,False,1.0,,61.0,1.0,True
220000.0,0,6,8,2,0.0,1.0,True,1989.0,40.0,,False,1.0,,40.0,1.0,False
370000.0,0,8,10,7,0.0,0.0,False,2010.0,74.0,,False,2.0,,74.0,1.0,True
267500.0,0,1,1,2,2.0,0.0,False,1992.0,77.0,,False,1.0,,77.0,2.0,False
189000.0,0,3,14,2,1.0,0.0,False,1990.0,187.0,,False,1.0,,48.0,1.0,True
13750.0,0,3,3,1,1.0,0.0,False,1991.0,63.0,,False,1.0,,63.0,1.0,True
