District,City,Town,EnergyCertificate,Floor,Parking,ConstructionYear,TotalArea,Garage,TotalRooms,NumberOfBedrooms,LivingArea,NumberOfBathrooms,Price
0,3,14,3,5.0,0.0,1989.0,66.0,1.1860649819494584,1.0,2.309241877256318,59.0,1.0,180000.0
0,1,1,7,1.0,1.0,1994.0,68.0,1.1860649819494584,1.0,2.309241877256318,68.0,1.8961387800783436,37000.0
0,1,1,1,1.0,1.0,1989.0,40.0,1.1860649819494584,2.68557624083522,2.309241877256318,40.0,1.0,6000.0
0,1,1,1,1.0,1.0,1989.0,40.0,1.1860649819494584,2.68557624083522,2.309241877256318,40.0,1.0,4000.0
1,10,15,3,5.0,3.0,2006.0,275.0,1.1860649819494584,4.0,2.309241877256318,275.0,4.0,1580000.0
0,4,4,2,3.0,0.0,1997.0,100.0,1.1860649819494584,2.0,2.309241877256318,100.0,2.0,265000.0
0,3,14,3,0.0,0.0,1985.0,270.0,1.1860649819494584,2.0,2.309241877256318,96.0,1.0,275000.0
0,11,16,3,0.0,1.0,2007.0,100.0,1.1860649819494584,2.0,2.309241877256318,178.0,1.0,260000.0
0,6,8,1,9.0,0.0,1991.0,127.0,1.1860649819494584,2.0,2.309241877256318,113.0,3.0,20000.0
0,12,17,6,1.0,0.0,1981.0,120.0,1.1860649819494584,4.0,2.309241877256318,150.0,2.0,232000.0
0,4,4,3,4.0,0.0,1972.0,121.0,1.1860649819494584,4.0,2.309241877256318,109.0,2.0,371500.0
0,5,18,3,5.0,2.0,2009.0,1466.0,1.1860649819494584,3.0,2.309241877256318,129.0,2.0,360000.0
0,5,5,4,2.0,2.0,2021.0,134.0,1.1860649819494584,2.0,2.309241877256318,172.0,1.0,860000.0
0,3,3,6,4.0,0.0,1987.0,88.0,1.1860649819494584,2.0,2.309241877256318,88.0,1.0,170000.0
0,13,19,3,4.0,0.0,1999.0,116.0,1.1860649819494584,3.0,2.309241877256318,104.0,2.0,259000.0
0,1,1,6,0.0,0.0,1999.0,1486.0,1.1860649819494584,1.0,2.309241877256318,65.0,1.0,215000.0
0,6,8,2,7.0,0.0,1988.0,65.0,1.1860649819494584,1.0,2.309241877256318,65.0,1.0,269000.0
0,3,3,4,4.0,2.0,2023.0,700.0,1.1860649819494584,3.0,2.309241877256318,114.0,2.0,375000.0
0,3,3,4,7.0,2.0,2023.0,700.0,1.1860649819494584,3.0,2.309241877256318,114.0,2.0,360000.0
0,3,3,2,4.0,0.0,1993.0,48.0,1.1860649819494584,1.0,2.309241877256318,42.0,1.0,154500.0
0,3,14,3,1.0,2.0,2006.0,158.0,1.1860649819494584,3.0,2.309241877256318,158.0,2.0,365000.0
0,8,10,3,2.0,0.0,1979.0,62.0,1.1860649819494584,1.0,2.309241877256318,62.0,1.0,122500.0
0,3,3,2,2.0,0.0,1991.0,400.0,1.1860649819494584,3.0,2.309241877256318,101.0,2.0,237500.0
0,4,4,4,1.0,1.0,2021.0,85.0,1.1860649819494584,2.0,2.309241877256318,85.0,1.8961387800783436,380000.0
0,5,5,4,0.0,1.0,2022.0,93.0,1.1860649819494584,2.0,2.309241877256318,74.0,2.0,635000.0
0,4,4,4,1.0,1.0,1997.7521777596298,63.0,1.1860649819494584,1.0,2.309241877256318,63.0,1.0,255000.0
0,4,4,4,1.0,1.0,1997.7521777596298,62.0,1.1860649819494584,1.0,2.309241877256318,62.0,1.0,258000.0
0,4,4,4,1.0,1.0,1997.7521777596298,61.0,1.1860649819494584,1.0,2.309241877256318,61.0,1.0,252000.0
0,4,4,4,0.0,1.0,1997.7521777596298,63.0,1.1860649819494584,1.0,2.309241877256318,63.0,1.0,265000.0
0,4,4,4,2.0,1.0,1997.7521777596298,63.0,1.1860649819494584,1.0,2.309241877256318,63.0,1.0,276000.0
0,4,4,4,2.0,1.0,1997.7521777596298,61.0,1.1860649819494584,1.0,2.309241877256318,61.0,1.0,272000.0
0,6,8,2,0.0,1.0,1989.0,40.0,1.1860649819494584,1.0,2.309241877256318,40.0,1.0,220000.0
0,8,10,7,0.0,0.0,2010.0,74.0,1.1860649819494584,2.0,2.309241877256318,74.0,1.0,370000.0
0,1,1,2,2.0,0.0,1992.0,77.0,1.1860649819494584,1.0,2.309241877256318,77.0,2.0,267500.0
0,3,14,2,1.0,0.0,1990.0,187.0,1.1860649819494584,1.0,2.309241877256318,48.0,1.0,189000.0
0,3,3,1,1.0,0.0,1991.0,63.0,1.1860649819494584,1.0,2.309241877256318,63.0,1.0,13750.0
0,9,12,2,9.0,1.0,1985.0,65.0,1.1860649819494584,1.0,2.309241877256318,65.0,1.0,189000.0
0,8,20,4,5.0,1.0,1997.7521777596298,123.0,1.1860649819494584,2.0,2.309241877256318,78.0,2.0,285000.0
0,4,4,4,5.0,1.0,1997.7521777596298,82.0,1.1860649819494584,2.0,2.309241877256318,82.0,2.0,325000.0
0,4,4,4,5.0,1.0,1997.7521777596298,63.0,1.1860649819494584,1.0,2.309241877256318,63.0,1.0,229000.0
0,4,4,4,0.0,1.0,1997.7521777596298,61.0,1.1860649819494584,1.0,2.309241877256318,61.0,1.0,262000.0
0,4,4,5,2.0,1.0,1997.7521777596298,62.0,1.1860649819494584,1.0,2.309241877256318,62.0,1.0,279000.0
0,9,12,4,5.0,2.0,2023.0,185.0,1.1860649819494584,2.0,2.309241877256318,95.0,2.0,730000.0
0,6,8,2,5.0,1.0,1994.0,90.0,1.1860649819494584,2.0,2.309241877256318,77.0,2.0,330000.0
0,6,8,3,4.0,0.0,1988.0,60.0,1.1860649819494584,2.0,2.309241877256318,66.0,1.0,230000.0
0,13,21,5,5.0,0.0,2005.0,64.0,1.1860649819494584,1.0,2.309241877256318,58.0,1.0,242000.0
0,1,1,2,3.0,0.0,1989.0,74.0,1.1860649819494584,1.0,2.309241877256318,74.0,1.0,220000.0
0,8,20,4,5.0,1.0,1997.7521777596298,120.0,1.1860649819494584,2.0,2.309241877256318,75.0,2.0,285000.0
0,4,4,4,0.0,1.0,1997.7521777596298,62.0,1.1860649819494584,1.0,2.309241877256318,62.0,1.0,268000.0
0,13,21,3,0.0,1.0,2004.0,70.0,1.1860649819494584,2.0,2.309241877256318,70.0,1.0,199000.0
0,12,17,2,10.0,3.0,1991.0,70.0,1.1860649819494584,2.0,2.309241877256318,70.0,2.0,255000.0
0,3,3,3,0.0,1.0,1983.0,880.0,1.1860649819494584,1.0,2.309241877256318,65.0,1.0,350000.0
0,4,4,4,5.0,1.0,2021.0,123.0,1.1860649819494584,3.0,2.309241877256318,123.0,1.8961387800783436,425000.0
0,4,4,4,5.0,1.0,1997.7521777596298,62.0,1.1860649819494584,1.0,2.309241877256318,62.0,1.0,255000.0
0,4,4,4,1.0,1.0,1997.7521777596298,73.0,1.1860649819494584,2.0,2.309241877256318,73.0,1.0,305000.0
0,4,4,4,0.0,2.0,1997.7521777596298,73.0,1.1860649819494584,2.0,2.309241877256318,73.0,1.0,316000.0
0,4,4,4,2.0,2.0,1997.7521777596298,73.0,1.1860649819494584,2.0,2.309241877256318,73.0,1.0,326000.0
0,13,19,7,0.0,1.0,2007.0,136.0,1.1860649819494584,3.0,2.309241877256318,136.0,2.0,364000.0
0,7,9,2,0.0,0.0,1966.0,70.0,1.1860649819494584,2.0,2.309241877256318,67.0,2.0,188500.0
0,1,1,1,0.0,0.0,1997.7521777596298,59.0,1.1860649819494584,1.0,2.309241877256318,59.0,1.0,285000.0
0,3,3,6,8.0,0.0,1988.0,75.0,1.1860649819494584,2.0,2.309241877256318,67.0,1.0,229000.0
0,6,8,4,2.0,1.0,2019.0,102.0,1.1860649819494584,2.0,2.309241877256318,156.0,2.0,650000.0
0,3,3,4,5.0,1.0,2023.0,750.0,1.1860649819494584,1.0,2.309241877256318,60.0,1.0,240000.0
0,1,1,5,5.0,1.0,1985.0,28.0,1.1860649819494584,2.68557624083522,2.309241877256318,28.0,1.0,2500.0
0,1,1,7,0.0,1.0,1985.0,28.0,1.1860649819494584,2.68557624083522,2.309241877256318,28.0,1.0,2500.0
0,1,1,1,2.0,0.0,1997.7521777596298,242.0,1.1860649819494584,4.0,2.309241877256318,242.0,4.0,1299000.0
0,1,1,1,1.0,0.0,1974.0,41.0,1.1860649819494584,1.0,2.309241877256318,41.0,1.0,10000.0
0,1,1,1,1.0,0.0,1974.0,41.0,1.1860649819494584,1.0,2.309241877256318,41.0,1.0,10000.0
0,6,8,3,1.0,2.0,2003.0,271.0,1.1860649819494584,2.0,2.309241877256318,97.0,2.0,498750.0
0,3,3,4,4.0,1.0,2023.0,750.0,1.1860649819494584,2.0,2.309241877256318,79.0,2.0,330000.0
0,3,3,0,7.0,1.0,2023.0,750.0,1.1860649819494584,2.0,2.309241877256318,79.0,2.0,340000.0
0,3,3,4,3.0,1.0,2023.0,750.0,1.1860649819494584,2.0,2.309241877256318,79.0,2.0,320000.0
